BATS,Total Shares,12558.92256,Market Cap,0,Percent,Infinity,Ask,29.7,Cap,0,SYM,BATS,VXF,12558.92256,ITOT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKB,Total Shares,2.10E+07,Market Cap,1642084.496,Percent,1279.426192,Ask,146.99,Cap,2.41E+08,SYM,BRKB,IVV,7902537.588,IWD,5452779.101,IWB,1329695.898,USMV,1096163.004,IVE,2126471.189,IWV,493911.1504,ITOT,419620.3823,OEF,665759.5755,QUAL,813973.7397,IYF,708347.5066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKb,Total Shares,1358813.525,Market Cap,1642084.496,Percent,82.74930604,Ask,146.99,Cap,2.41E+08,SYM,BRKb,VFH,1358813.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADPT,Total Shares,4928217.237,Market Cap,1.64E+07,Percent,30.02373588,Ask,8.47,Cap,1.39E+08,SYM,ADPT,VTI,0,VB,316883.1169,VXF,44037.7804,IWM,931877.2137,IJR,2152774.498,VBK,221015.3483,IWV,0,IWO,420070.8383,VHT,119716.647,ITOT,0,IJS,264226.6824,IJT,457615.1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD,Total Shares,1.70E+07,Market Cap,6.34E+07,Percent,26.88698826,Ask,18.15,Cap,1.15E+09,SYM,RRD,VTI,344903.5813,VB,887272.7273,VXF,164407.7135,IWD,167272.7273,IWF,321652.8926,IJH,3509090.909,VYM,335867.7686,VBR,962424.2424,MDY,1921212.121,DVY,4911735.537,IWB,82203.85675,IWR,348484.8485,IWS,130578.5124,IWP,270633.6088,IWV,33057.85124,ITOT,28319.55923,IJJ,1073223.14,PRF,112672.1763,VIS,166611.5702,DON,615867.7686,FDL,174820.9366,QDF,411735.5372,IVOO,61783.19559,,,,,,,,,,,,,,,,,,,,
GORO,Total Shares,1.11E+07,Market Cap,5.18E+07,Percent,21.49140049,Ask,5.5,Cap,2.85E+08,SYM,GORO,VTI,0,VXF,0,IWM,956727.2727,IWN,0,IWV,0,IWO,323454.5455,ITOT,0,GDXJ,9852363.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKY,Total Shares,9903828.033,Market Cap,5.01E+07,Percent,19.7808622,Ask,16.98,Cap,8.50E+08,SYM,PKY,VTI,0,VB,395170.7892,VNQ,3087632.509,VXF,65901.06007,IWM,1239575.972,IJR,2624970.554,VBK,303180.212,IWN,614369.8469,IWV,0,ITOT,0,IJS,988515.9011,VFH,0,RWR,406890.4594,RWO,177620.7303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICE,Total Shares,2.05E+07,Market Cap,1.11E+08,Percent,18.47230032,Ask,56.45,Cap,6.26E+09,SYM,ICE,VTI,1552524.358,VOO,1522320.638,SPY,5703507.529,IVV,2379698.849,VUG,1276882.197,IWD,860513.729,IWF,723932.6838,IWB,396457.0416,IVW,826961.9132,VV,219946.8556,XLF,3077803.366,RSP,327493.357,IWV,148804.2516,ITOT,127475.6422,PRF,43472.0992,VFH,656758.1931,MGK,160513.729,RPG,258919.3977,IYF,220797.1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND,Total Shares,2.70E+07,Market Cap,1.49E+08,Percent,18.05159674,Ask,4.7,Cap,7.02E+08,SYM,SAND,GDX,8845531.915,GDXJ,1.81E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAG,Total Shares,6.67E+07,Market Cap,3.79E+08,Percent,17.59670807,Ask,4.25,Cap,1.61E+09,SYM,IAG,GDX,2.36E+07,GDXJ,4.31E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKT,Total Shares,1.67E+07,Market Cap,9.52E+07,Percent,17.50505787,Ask,34.04,Cap,3.24E+09,SYM,SKT,VTI,183901.2926,VB,512514.6886,VNQ,4167567.568,VXF,98619.27145,IWD,0,IWF,257256.1692,IJH,2126175.088,MDY,1117508.813,VBK,398707.4031,IWB,43830.78731,SDY,5252467.685,IWR,222972.973,IWS,23207.9906,IWP,198413.631,IWV,17626.32197,IJK,485076.3807,ITOT,15099.88249,IJJ,239541.7156,IYR,445417.1563,VFH,0,RWR,541245.5934,RWO,238542.8907,IYF,40188.0141,IVOO,35807.13866,,,,,,,,,,,,,,,,,,
