S&P 
Days,Positive, , , ,Negative, , , 
0,Up,Up%,Down,Down%,Up,Up%,Down,Down
1,92,45.320197044334975,111,54.679802955665025,103,50.49019607843137,101,49.50980392156863
2,37,40.21739130434783,55,59.78260869565217,49,48.51485148514851,52,51.48514851485149
3,12,32.432432432432435,25,67.56756756756756,32,61.53846153846154,20,38.46153846153847
4,8,66.66666666666666,4,33.33333333333333,13,65.0,7,35.0
5,1,12.5,7,87.5,5,71.42857142857143,2,28.57142857142857
6,0,0.0,1,100.0,2,100.0,0,0.0


MMM
Days,Positive, , , ,Negative, , , 
0,Up,Up%,Down,Down%,Up,Up%,Down,Down
1,88,44.89795918367347,108,55.10204081632652,96,48.97959183673469,100,51.02040816326531
2,33,37.5,55,62.5,51,51.0,49,49.0
3,13,39.39393939393939,20,60.60606060606061,20,40.816326530612244,29,59.183673469387756
4,8,61.53846153846154,5,38.46153846153847,17,58.620689655172406,12,41.37931034482759
5,3,37.5,5,62.5,4,36.36363636363637,7,63.63636363636363
6,1,33.33333333333333,2,66.66666666666666,6,85.71428571428571,1,14.285714285714285
7,0,0.0,1,100.0,0,0.0,1,100.0
8,0,0.0,0,0.0,0,0.0,1,100.0
9,0,0.0,0,0.0,0,0.0,1,100.0
10,0,0.0,0,0.0,0,0.0,1,100.0
11,0,0.0,0,0.0,1,100.0,0,0.0


ABT
Days,Positive, , , ,Negative, , , 
0,Up,Up%,Down,Down%,Up,Up%,Down,Down
1,93,48.4375,99,51.5625,102,52.84974093264248,91,47.15025906735752
2,41,44.086021505376344,52,55.91397849462365,48,52.74725274725275,43,47.25274725274725
3,18,43.90243902439025,23,56.09756097560976,21,48.837209302325576,22,51.162790697674424
4,11,61.111111111111114,7,38.88888888888889,12,54.54545454545454,10,45.45454545454545
5,7,63.63636363636363,4,36.36363636363637,5,50.0,5,50.0
6,5,71.42857142857143,2,28.57142857142857,3,60.0,2,40.0
7,3,60.0,2,40.0,1,50.0,1,50.0
8,1,33.33333333333333,2,66.66666666666666,0,0.0,1,100.0
9,0,0.0,1,100.0,1,100.0,0,0.0


ABBV
Days,Positive, , , ,Negative, , , 
0,Up,Up%,Down,Down%,Up,Up%,Down,Down
1,85,44.27083333333333,107,55.729166666666664,95,49.22279792746114,98,50.77720207253886
2,39,45.88235294117647,46,54.11764705882353,46,46.93877551020408,52,53.06122448979592
3,17,43.58974358974359,22,56.41025641025641,30,57.692307692307686,22,42.30769230769231
4,10,58.82352941176471,7,41.17647058823529,11,50.0,11,50.0
5,5,50.0,5,50.0,6,54.54545454545454,5,45.45454545454545
6,2,40.0,3,60.0,0,0.0,5,100.0
7,1,50.0,1,50.0,4,80.0,1,20.0
8,1,100.0,0,0.0,1,100.0,0,0.0
9,0,0.0,1,100.0,0,0.0,0,0.0


ACN
Days,Positive, , , ,Negative, , , 
0,Up,Up%,Down,Down%,Up,Up%,Down,Down
1,84,43.07692307692308,111,56.92307692307692,93,47.44897959183674,103,52.55102040816326
2,35,41.66666666666667,49,58.333333333333336,52,50.98039215686274,50,49.01960784313725
3,17,48.57142857142857,18,51.42857142857142,23,46.0,27,54.0
4,8,47.05882352941176,9,52.94117647058824,17,62.96296296296296,10,37.03703703703704
5,1,12.5,7,87.5,5,50.0,5,50.0
6,1,100.0,0,0.0,1,20.0,4,80.0
7,1,100.0,0,0.0,2,50.0,2,50.0
8,0,0.0,1,100.0,1,50.0,1,50.0
9,0,0.0,0,0.0,1,100.0,0,0.0


ATVI
Days,Positive, , , ,Negative, , , 
0,Up,Up%,Down,Down%,Up,Up%,Down,Down
1,82,44.80874316939891,101,55.19125683060109,81,44.02173913043478,103,55.97826086956522
2,39,47.5609756097561,43,52.4390243902439,54,52.42718446601942,49,47.57281553398058
3,23,58.97435897435898,16,41.02564102564102,22,44.89795918367347,27,55.10204081632652
4,11,47.82608695652174,12,52.17391304347826,11,42.30769230769231,15,57.692307692307686
5,7,63.63636363636363,4,36.36363636363637,9,60.0,6,40.0
6,3,42.857142857142854,4,57.14285714285714,4,66.66666666666666,2,33.33333333333333
7,1,33.33333333333333,2,66.66666666666666,1,50.0,1,50.0
8,1,100.0,0,0.0,1,100.0,0,0.0
9,1,100.0,0,0.0,0,0.0,0,0.0
10,1,100.0,0,0.0,0,0.0,0,0.0
11,1,100.0,0,0.0,0,0.0,0,0.0
12,0,0.0,1,100.0,0,0.0,0,0.0


AYI
Days,Positive, , , ,Negative, , , 
0,Up,Up%,Down,Down%,Up,Up%,Down,Down
1,83,43.684210526315795,107,56.315789473684205,91,47.64397905759162,100,52.35602094240838
2,42,50.602409638554214,41,49.39759036144578,47,47.474747474747474,52,52.52525252525253
3,15,35.714285714285715,27,64.28571428571429,25,48.07692307692308,27,51.92307692307693
4,7,46.666666666666664,8,53.333333333333336,15,55.55555555555556,12,44.44444444444444
5,4,57.14285714285714,3,42.857142857142854,4,33.33333333333333,8,66.66666666666666
6,2,50.0,2,50.0,4,50.0,4,50.0
7,1,50.0,1,50.0,2,50.0,2,50.0
8,0,0.0,1,100.0,2,100.0,0,0.0


ADBE
Days,Positive, , , ,Negative, , , 
0,Up,Up%,Down,Down%,Up,Up%,Down,Down
1,82,42.70833333333333,110,57.291666666666664,95,49.22279792746114,98,50.77720207253886
2,32,39.02439024390244,50,60.97560975609756,43,44.329896907216494,54,55.670103092783506
3,19,59.375,13,40.625,23,42.592592592592595,31,57.407407407407405
4,7,36.84210526315789,12,63.1578947368421,19,61.29032258064516,12,38.70967741935484
